Time,Text
12/19/2025 0:32,Order 2574603350 for symbol DELTAIN:BTCUSD.P has been executed at price 85659.5 for 13 units
12/19/2025 0:32,Order 2574603350 successfully placed
12/19/2025 0:32,Call to place market order to sell 13 units of symbol DELTAIN:BTCUSD.P 
12/18/2025 22:47,Order 2572380292 for symbol CRYPTO:ETHUSD has been executed at price 2824.81 for 440 units
12/18/2025 15:15,Order 2571333767 for symbol DELTAIN:BTCUSD.P has been executed at price 87359.0 for 1 units
12/18/2025 15:15,Order 2571333768 successfully cancelled
12/18/2025 15:15,Order 2571333768 modification confirmed
12/18/2025 15:15,Order 2571333767 modification confirmed
12/18/2025 15:15,Modify position for symbol DELTAIN:BTCUSD.P with SL 87356.3 and TP 86074.0
12/18/2025 15:14,Order 2571333768 modification confirmed
12/18/2025 15:14,Order 2571333767 modification confirmed
12/18/2025 15:14,Modify position for symbol DELTAIN:BTCUSD.P with SL 87941.3 and TP 86074.0
12/18/2025 15:14,Order 2572380292 successfully placed
12/18/2025 15:14,Modify position for symbol CRYPTO:ETHUSD with TP 2825.07
12/18/2025 5:18,Order 2571413562 successfully cancelled
12/18/2025 5:18,Modify position for symbol CRYPTO:ETHUSD
12/18/2025 5:12,Order 2571413562 successfully placed
12/18/2025 5:12,Modify position for symbol CRYPTO:ETHUSD with TP 2820.33
12/18/2025 5:01,Order 2571401343 for symbol CRYPTO:ETHUSD has been executed at price 2825.07 for 440 units
12/18/2025 5:01,Order 2571401343 successfully placed
12/18/2025 5:01,Call to place market order to sell 440 units of symbol CRYPTO:ETHUSD 
12/18/2025 3:51,Order 2571333768 successfully placed
12/18/2025 3:51,Order 2571333767 successfully placed
12/18/2025 3:51,Modify position for symbol DELTAIN:BTCUSD.P with SL 87941.3 and TP 82444.7
12/18/2025 3:50,Order 2571333281 for symbol DELTAIN:BTCUSD.P has been executed at price 86074.0 for 1 units
12/18/2025 3:50,Order 2571333281 successfully placed
12/18/2025 3:50,Call to place market order to sell 1 units of symbol DELTAIN:BTCUSD.P 
12/18/2025 3:45,Order 2571329022 rejected; reason: out_of_session
12/18/2025 3:45,Call to place market order to sell 300 units of symbol FX:XAUUSD 
12/18/2025 2:06,Order 2571175118 for symbol BMFBOVESPA:SOL1! has been executed at price 123.16 for 2100 units
12/18/2025 2:06,Order 2571175118 successfully placed
12/18/2025 2:06,Call to place market order to buy 2100 units of symbol BMFBOVESPA:SOL1! 
12/18/2025 2:06,Order 2571174968 for symbol BMFBOVESPA:SOL1! has been executed at price 123.18 for 2100 units
12/18/2025 2:06,Order 2571174968 successfully placed
12/18/2025 2:06,Call to place market order to sell 2100 units of symbol BMFBOVESPA:SOL1! 
12/18/2025 2:05,Order 2571174605 for symbol BMFBOVESPA:SOL1! has been executed at price 123.21 for 2102 units
12/18/2025 2:05,Order 2571174605 successfully placed
12/18/2025 2:05,Order 2571162020 successfully cancelled
12/18/2025 2:05,Order 2571162019 successfully cancelled
12/18/2025 2:05,Call to place market order to buy 2102 units of symbol BMFBOVESPA:SOL1! 
12/18/2025 2:05,Order 2571174373 for symbol BMFBOVESPA:SOL1! has been executed at price 123.16 for 2100 units
12/18/2025 2:05,Order 2571174373 successfully placed
12/18/2025 2:05,Call to place market order to sell 2100 units of symbol BMFBOVESPA:SOL1! 
12/18/2025 2:04,Order 2571171697 for symbol BMFBOVESPA:SOL1! has been executed at price 123.04 for 1 units
12/18/2025 2:04,Order 2571171697 successfully placed
12/18/2025 2:04,Call to place market order to sell 1 units of symbol BMFBOVESPA:SOL1! 
12/18/2025 2:00,Order 2571162020 successfully placed
12/18/2025 2:00,Order 2571162019 successfully placed
12/18/2025 2:00,Modify position for symbol BMFBOVESPA:SOL1! with SL 127.76 and TP 100.18
12/18/2025 2:00,Order 2571160836 for symbol BMFBOVESPA:SOL1! has been executed at price 123.56 for 1 units
12/18/2025 2:00,Order 2571160836 successfully placed
12/18/2025 2:00,Call to place market order to sell 1 units of symbol BMFBOVESPA:SOL1! 
12/18/2025 0:51,Order 2570986983 for symbol DELTAIN:BTCUSD.P has been executed at price 85808.0 for 1 units
12/18/2025 0:51,Order 2570986983 successfully placed
12/18/2025 0:51,Order 2570984877 successfully cancelled
12/18/2025 0:51,Order 2570984146 successfully cancelled
12/18/2025 0:51,Call to place market order to buy 1 units of symbol DELTAIN:BTCUSD.P 
12/18/2025 0:50,Order 2570984877 successfully placed
12/18/2025 0:50,Order 2570984146 modification confirmed
12/18/2025 0:50,Modify position for symbol DELTAIN:BTCUSD.P with SL 88106.6 and TP 80050.5
12/18/2025 0:50,Order 2570984146 successfully placed
12/18/2025 0:50,Modify position for symbol DELTAIN:BTCUSD.P with SL 88106.6
12/18/2025 0:50,Order 2570983576 for symbol DELTAIN:BTCUSD.P has been executed at price 85749.5 for 1 units
12/18/2025 0:50,Order 2570983576 successfully placed
12/18/2025 0:50,Call to place market order to sell 1 units of symbol DELTAIN:BTCUSD.P 
12/18/2025 0:45,Order 2570971276 for symbol CRYPTO:ETHUSD has been executed at price 2800.89 for 470 units
12/18/2025 0:45,Order 2570971276 successfully placed
12/18/2025 0:45,Call to place market order to buy 470 units of symbol CRYPTO:ETHUSD 
12/18/2025 0:45,Order 2570969596 for symbol CRYPTO:ETHUSD has been executed at price 2799.35 for 470 units
12/18/2025 0:45,Order 2570969596 successfully placed
12/18/2025 0:45,Call to place market order to sell 470 units of symbol CRYPTO:ETHUSD 
12/18/2025 0:44,Order 2570968059 for symbol CRYPTO:ETHUSD has been executed at price 2802.52 for 470 units
12/18/2025 0:44,Order 2570968059 successfully placed
12/18/2025 0:44,Call to place market order to buy 470 units of symbol CRYPTO:ETHUSD 
12/18/2025 0:44,Order 2570966268 for symbol CRYPTO:ETHUSD has been executed at price 2796.42 for 470 units
12/18/2025 0:44,Order 2570966268 successfully placed
12/18/2025 0:44,Call to place market order to sell 470 units of symbol CRYPTO:ETHUSD 
12/18/2025 0:40,Order 2570957922 for symbol CRYPTO:ETHUSD has been executed at price 2792.96 for 470 units
12/18/2025 0:40,Order 2570957922 successfully placed
12/18/2025 0:40,Call to place market order to buy 470 units of symbol CRYPTO:ETHUSD 
12/18/2025 0:38,Order 2570951593 for symbol CRYPTO:ETHUSD has been executed at price 2795.71 for 470 units
12/18/2025 0:38,Order 2570951593 successfully placed
12/18/2025 0:38,Call to place market order to sell 470 units of symbol CRYPTO:ETHUSD 
12/18/2025 0:37,Order 2570949595 for symbol CRYPTO:ETHUSD has been executed at price 2801.07 for 470 units
12/18/2025 0:37,Order 2570949595 successfully placed
12/18/2025 0:37,Order 2570937443 successfully cancelled
12/18/2025 0:37,Call to place market order to buy 470 units of symbol CRYPTO:ETHUSD 
12/18/2025 0:33,Order 2570937443 successfully placed
12/18/2025 0:33,Modify position for symbol CRYPTO:ETHUSD with TP 2800.60
12/18/2025 0:33,Order 2570934960 for symbol CRYPTO:ETHUSD has been executed at price 2804.97 for 470 units
12/18/2025 0:33,Order 2570934960 successfully placed
12/18/2025 0:33,Call to place market order to sell 470 units of symbol CRYPTO:ETHUSD 
12/18/2025 0:31,Order 2570931065 for symbol CRYPTO:ETHUSD has been executed at price 2811.13 for 470 units
12/18/2025 0:31,Order 2570931065 successfully placed
12/18/2025 0:31,Order 2570927385 successfully cancelled
12/18/2025 0:31,Call to place market order to buy 470 units of symbol CRYPTO:ETHUSD 
12/18/2025 0:30,Order 2570927385 successfully placed
12/18/2025 0:30,Modify position for symbol CRYPTO:ETHUSD with TP 2809.73
12/18/2025 0:30,Order 2570926464 for symbol CRYPTO:ETHUSD has been executed at price 2814.02 for 470 units
12/18/2025 0:30,Order 2570926464 successfully placed
12/18/2025 0:30,Call to place market order to sell 470 units of symbol CRYPTO:ETHUSD 
12/18/2025 0:25,Order 2570912373 for symbol CRYPTO:ETHUSD has been executed at price 2813.01 for 460 units
12/18/2025 0:25,Order 2570912373 successfully placed
12/18/2025 0:25,Modify position for symbol CRYPTO:ETHUSD with TP 2814.18
12/18/2025 0:25,Order 2570910533 for symbol CRYPTO:ETHUSD has been executed at price 2818.72 for 460 units
12/18/2025 0:25,Order 2570910533 successfully placed
12/18/2025 0:25,Call to place market order to sell 460 units of symbol CRYPTO:ETHUSD 
12/18/2025 0:23,Order 2570907291 for symbol DELTAIN:BTCUSD.P has been executed at price 85891.5 for 13 units
12/18/2025 0:23,Order 2570907291 successfully placed
12/18/2025 0:23,Order 2570894968 successfully cancelled
12/18/2025 0:23,Order 2570894967 successfully cancelled
12/18/2025 0:23,Call to place market order to buy 13 units of symbol DELTAIN:BTCUSD.P 
12/18/2025 0:20,Order 2570894968 successfully placed
12/18/2025 0:20,Order 2570894967 successfully placed
12/18/2025 0:20,Modify position for symbol DELTAIN:BTCUSD.P with SL 86327.2 and TP 84997.9
12/18/2025 0:20,Order 2570894258 for symbol DELTAIN:BTCUSD.P has been executed at price 85732.0 for 13 units
12/18/2025 0:20,Order 2570894258 successfully placed
12/18/2025 0:20,Call to place market order to sell 13 units of symbol DELTAIN:BTCUSD.P 
12/17/2025 22:02,Order 2570360434 for symbol CRYPTO:ETHUSD has been executed at price 2839.23 for 460 units
12/17/2025 22:02,Order 2570360434 successfully placed
12/17/2025 22:02,Order 2570358043 successfully cancelled
12/17/2025 22:02,Call to place market order to buy 460 units of symbol CRYPTO:ETHUSD 
12/17/2025 22:02,Order 2570358043 successfully placed
12/17/2025 22:02,Modify position for symbol CRYPTO:ETHUSD with TP 2834.21
12/17/2025 22:02,Order 2570356680 for symbol CRYPTO:ETHUSD has been executed at price 2839.64 for 460 units
12/17/2025 22:02,Order 2570356680 successfully placed
12/17/2025 22:01,Call to place market order to sell 460 units of symbol CRYPTO:ETHUSD 
12/17/2025 22:01,Failed to execute order 2570355640; reason: insufficient funds
12/17/2025 22:01,Order 2570355640 successfully placed
12/17/2025 22:01,Call to place market order to sell 470 units of symbol CRYPTO:ETHUSD 
12/17/2025 22:00,Order 2570347442 for symbol CRYPTO:ETHUSD has been executed at price 2840.04 for 450 units
12/17/2025 22:00,Order 2570347442 successfully placed
12/17/2025 22:00,Call to place market order to buy 450 units of symbol CRYPTO:ETHUSD 
12/17/2025 21:59,Order 2570344607 for symbol CRYPTO:ETHUSD has been executed at price 2846.29 for 450 units
12/17/2025 21:59,Order 2570344607 successfully placed
12/17/2025 21:59,Call to place market order to sell 450 units of symbol CRYPTO:ETHUSD 
12/17/2025 21:45,Order 2570183179 for symbol CRYPTO:ETHUSD has been executed at price 2865.05 for 394 units
12/17/2025 21:32,Order 2570183179 successfully placed
12/17/2025 21:32,Modify position for symbol CRYPTO:ETHUSD with TP 2865.13
12/17/2025 21:29,Order 2570163311 for symbol CRYPTO:ETHUSD has been executed at price 2903.31 for 394 units
12/17/2025 21:29,Order 2570163311 successfully placed
12/17/2025 21:29,Call to place market order to sell 394 units of symbol CRYPTO:ETHUSD 
12/17/2025 21:28,Order 2570159550 for symbol CRYPTO:ETHUSD has been executed at price 2899.79 for 350 units
12/17/2025 21:28,Order 2570159550 successfully placed
12/17/2025 21:28,Order 2567025310 successfully cancelled
12/17/2025 21:28,Call to place market order to buy 350 units of symbol CRYPTO:ETHUSD 
12/16/2025 23:46,Order 2567025310 modification confirmed
12/16/2025 23:46,Modify position for symbol CRYPTO:ETHUSD with TP 2837.98
12/16/2025 23:46,Order 2567025310 modification confirmed
12/16/2025 23:46,Modify position for symbol CRYPTO:ETHUSD with TP 2831.86
12/16/2025 23:46,Order 2567025310 successfully placed
12/16/2025 23:46,Modify position for symbol CRYPTO:ETHUSD with TP 2825.74
12/16/2025 23:14,Order 2566905612 for symbol CRYPTO:ETHUSD has been executed at price 2923.93 for 350 units
12/16/2025 23:14,Order 2566905612 successfully placed
12/16/2025 23:14,Call to place market order to sell 350 units of symbol CRYPTO:ETHUSD 
12/16/2025 23:13,Order 2566904123 for symbol BITSTAMP:ETHUSD has been executed at price 2921.6 for 400 units
12/16/2025 23:13,Order 2566904123 successfully placed
12/16/2025 23:13,Order 2566546873 successfully cancelled
12/16/2025 23:13,Call to place market order to sell 400 units of symbol BITSTAMP:ETHUSD 
12/16/2025 21:58,Order 2566546873 modification confirmed
12/16/2025 21:58,Modify position for symbol BITSTAMP:ETHUSD with TP 2965.0
12/16/2025 21:58,Order 2566546873 modification confirmed
12/16/2025 21:58,Modify position for symbol BITSTAMP:ETHUSD with TP 2963.5
12/16/2025 21:55,Order 2566546873 modification confirmed
12/16/2025 21:55,Modify position for symbol BITSTAMP:ETHUSD with TP 2965.0
12/16/2025 21:53,Order 2566546873 successfully placed
12/16/2025 21:53,Modify position for symbol BITSTAMP:ETHUSD with TP 2961.2
12/16/2025 21:53,Order 2566544380 for symbol BITSTAMP:ETHUSD has been executed at price 2953.7 for 400 units
12/16/2025 21:53,Order 2566544380 successfully placed
12/16/2025 21:53,Call to place market order to buy 400 units of symbol BITSTAMP:ETHUSD 
12/16/2025 21:49,Order 2566502330 for symbol BITSTAMP:BTCUSD has been executed at price 87790 for 13 units
12/16/2025 21:47,Order 2566502330 modification confirmed
12/16/2025 21:47,Modify position for symbol BITSTAMP:BTCUSD with TP 87789
12/16/2025 21:45,Order 2566502330 successfully placed
12/16/2025 21:45,Modify position for symbol BITSTAMP:BTCUSD with TP 87730
12/16/2025 21:43,Order 2566486893 for symbol BITSTAMP:BTCUSD has been executed at price 87630 for 13 units
12/16/2025 21:43,Order 2566486893 successfully placed
12/16/2025 21:43,Call to place market order to buy 13 units of symbol BITSTAMP:BTCUSD 
12/16/2025 21:08,Order 2566269588 for symbol BITSTAMP:BTCUSD has been executed at price 87109 for 13 units
12/16/2025 21:08,Order 2566269588 successfully placed
12/16/2025 21:08,Order 2566244470 successfully cancelled
12/16/2025 21:08,Call to place market order to buy 13 units of symbol BITSTAMP:BTCUSD 
12/16/2025 21:07,Order 2566244470 modification confirmed
12/16/2025 21:07,Modify position for symbol BITSTAMP:BTCUSD with TP 86392
12/16/2025 21:06,Order 2566244470 modification confirmed
12/16/2025 21:06,Modify position for symbol BITSTAMP:BTCUSD with TP 86481
12/16/2025 21:05,Order 2566244470 modification confirmed
12/16/2025 21:05,Modify position for symbol BITSTAMP:BTCUSD with TP 86086
12/16/2025 21:05,Order 2566244470 successfully placed
12/16/2025 21:05,Modify position for symbol BITSTAMP:BTCUSD with TP 86863
12/16/2025 21:03,Order 2566228422 for symbol BITSTAMP:BTCUSD has been executed at price 87251 for 26 units
12/16/2025 21:03,Order 2566228422 successfully placed
12/16/2025 21:03,Call to place market order to sell 26 units of symbol BITSTAMP:BTCUSD 
